Ime in priimek	Spol	Rojstvo	Smrt	Naslov	Oznaka	Letnica nastanka	Letnica vira	Letnica digitalizirane izdaje	Obdobje	Število besed	Kanoničnost 	Število ponatisov	Status	Signatura	URL	ALT URL
"Levstik, Vladimir"	m	1886	1957	Blagorodje doktor Ambrož Čander	Imaginarna karikatura	1909		2015	D	"49,762"	NE		OK	SLV00345	WIKI00345	
"Šorli, Ivo"	m	1877	1958	Štefan Zaplotnik	Povest veselega človeka	1916		2015	D	"33,807"	NE		OK	SLV00325	WIKI00325	
"Tavčar, Ivan"	m	1851	1923	Cvetje v jeseni		1917		2015	D	"30,439"	DA		ADD	SLV00324	WIKI00324	
"Maselj Podlimbarski, Fran"	m	1852	1917	Potresna povest		1903		2015	D	"36,674"	NE		OK	SLV00310	WIKI00310	
"Jurčič, Josip"	m	1844	1881	Cvet in sad	Izviren roman	1877		2015	B	"50,336"	DA		OK	SLV00279	WIKI00279	
"Detela, Fran"	m	1850	1926	Trojka	Povest	1897		2015	C	"78,500"	DA		OK	SLV00278	WIKI00278	
"Finžgar, Fran Saleški"	m	1871	1962	Kvišku		1899		2015	C	"41,330"	NE		OK	SLV00273	WIKI00273	
"Pajk, Pavlina"	ž	1854	1901	Slučaji usode	Roman	1897		2015	C	"57,515"	DELNO	2	OK	SLV00240	WIKI00240	
"Pajk, Pavlina"	ž	1854	1901	Dušne borbe		1896		2015	C	"30,192"	NE		OK	SLV00234	WIKI00234	
"Pajk, Pavlina"	ž	1854	1901	Arabela	Roman	1885		2015	C	"38,910"	NE		OK	SLV00231	WIKI00231	
"Pesjak, Luiza"	ž	1828	1898	Beatin dnevnik	Roman	1887		2015	C	"29,412"	NE		OK	SLV00227	WIKI00227	
"Jurčič, Josip"	m	1844	1881	Slovenski svetec in učitelj	Zgodovinski roman. Fragment	1886		2015	C	"43,284"	DA		OK	SLV00217	WIKI00217	
"Jurčič, Josip"	m	1844	1881	Rokovnjači	Historičen roman	1881		2015	C	"49,509"	DA		OK	SLV00216	WIKI00216	
"Kersnik, Janko"	m	1852	1897	Na Žerinjah	Izviren roman	1876		2015	B	"32,465"	DA		OK	SLV00194	WIKI00194	
"Kersnik, Janko"	m	1852	1897	Agitator	Roman	1885		2015	C	"26,256"	DA		OK	SLV00187	WIKI00187	
"Mencinger, Janez"	m	1838	1912	Abadon	Bajka za starce	1893		2015	C	"93,056"	DA		OK	SLV00174	WIKI00174	
"Sket, Jakob"	m	1852	1912	Milko Vogrin	Novela	1883		2015	C	"76,226"	NE		OK	SLV00172	WIKI00172	
"Tavčar, Ivan"	m	1851	1923	4000	Času primerna povest iz prihodnjih dob	1891		2015	C	"34,073"	DA		OK	SLV00136	WIKI00136	
"Janežič-Kraljev, Ivan"	m	1855	1922	Gospa s pristave	Zgodovinski roman	1894		2015	C	"96,309"	NE		OK	SLV00135	WIKI00135	
"Maselj Podlimbarski, Fran"	m	1852	1917	Gorski potoki	Povest Ivana Gorca	1895		2015	C	"34,499"	NE		OK	SLV00132	WIKI00132	
"Jaklič, Fran"	m	1868	1937	Ljudska osveta	Povest	1892		2015	C	"31,531"	NE		OK	SLV00126	WIKI00126	
"Podmilšak, Josip"	m	1845	1874	Žalost in veselje	Povest za prosto ljudstvo	1870		2015	B	"76,732"	NE		OK	SLV00122	WIKI00122	
"Detela, Fran"	m	1850	1926	Veliki grof	Zgodovinski roman	1885		2015	C	"45,301"	DELNO	4	OK	SLV00112	WIKI00112	
"Detela, Fran"	m	1850	1926	Pegam in Lambergar	Povest	1891		2015	C	"62,317"	DA		OK	SLV00111	WIKI00111	
"Koder, Anton"	m	1851	1918	Zvezdana	Roman	1883		2015	C	"31,016"	NE		OK	SLV00103	WIKI00103	
"Koder, Anton"	m	1851	1918	Marjetica	Izviren roman	1877		2015	B	"61,876"	DELNO	4	OK	SLV00099	WIKI00099	
"Koder, Anton"	m	1851	1918	Luteranci	Historičen roman	1883		2015	C	"42,357"	NE		OK	SLV00098	WIKI00098	
"Bartel, Anton"	m	1853	1938	Pomladanski vetrovi	Povest iz časov francoskih vojsk	1881		2015	C	"65,101"	NE		OK	SLV00094	WIKI00094	
"Štrukelj, Ivan"	m	1869	1948	Zmota in povrat	Povest	1892		2015	C	"33,156"	NE		OK	SLV00092	WIKI00092	
"Štrukelj, Ivan"	m	1869	1948	Spletke	Povest iz nedavnih časov	1894		2015	C	"38,383"	NE		OK	SLV00090	WIKI00090	
"Meško, Ksaver"	m	1874	1964	Kam plovemo		1897		2015	C	"69,096"	DA		OK	SLV00072	WIKI00072	
"Kersnik, Janko"	m	1852	1897	Ciklamen	Roman	1883		2015	C	"37,097"	DA		OK	SLV00058	WIKI00058	
"Govekar, Fran"	m	1871	1949	V krvi		1896		2015	C	"50,499"	DA		OK	SLV00048	WIKI00048	
"Bedenek, Jakob"	m	1850	1916	Od pluga do krone	Zgodovinski roman iz minulega stoletja	1891		2015	C	"81,444"	NE		OK	SLV00024	WIKI00024	
