ID	Name	VIAF	Gender	Birth	Death	Title	Subtitle	Printed	Digitised	Period	Size	Canon	Words	Tokens
SLV10011	Jurčič, Josip	viaf:54483391	M	1844	1881	Lepa Vida	Roman	1877	2007	T2	short	high	21057	26316
SLV10012	Koder, Anton	viaf:172847595	M	1851	1918	Kmetski triumvirat	Historičen roman	1884	2011	T3	short	low	43082	50544
SLV10013	Kovačič, Ivo	viaf:81042077	M	1873	1936	Mladi gozdar	Izvirni roman	1904	2018	T4	short	low	25291	32572
SLV10014	Kveder, Zofka	viaf:1223577	F	1878	1926	Nada		1907	2013	T4	short	high	41907	50967
SLV10015	Kveder, Zofka	viaf:1223577	F	1878	1926	Njeno življenje	Povest	1914	2008	T4	medium	high	58697	71729
SLV10016	Mahnič, Anton	viaf:32798590	M	1850	1920	Zadnji samotar	Izviren zgodovinski roman	1886	2015	T3	medium	low	75230	90851
SLV10017	Malovrh, Miroslav	viaf:233014487	M	1861	1922	Tolovajski glavar Črni Jurij in njegovi divji tovariši	Ljudski roman	1903	2017	T4	long	low	257555	338050
SLV10018	Maselj Podlimbarski, Fran	viaf:24474637	M	1852	1917	Gospodin Franjo	Roman	1913	2008	T4	long	high	173235	210497
SLV10019	Milčinski, Fran	viaf:72324490	M	1867	1932	Ptički brez gnezda		1917	2015	T4	medium	high	78218	96232
SLV10020	Nadlišek, Marica	viaf:6737472	F	1867	1940	Fata morgana		1898	2018	T3	short	low	41611	51231
SLV10021	Pajk, Pavlina	viaf:260393202	F	1854	1901	Judita	Roman	1896	2018	T3	short	low	22929	28228
SLV10022	Prepeluh, Albin	viaf:79068165	M	1881	1937	Mina	Roman	1910	2019	T4	short	low	33155	39841
SLV10023	Stritar, Josip	viaf:70948422	M	1836	1923	Zorin		1870	2011	T2	short	high	27899	33944
SLV10024	Stritar, Josip	viaf:70948422	M	1836	1923	Sodnikovi		1875	2009	T2	medium	high	51644	63525
SLV10025	Stritar, Josip	viaf:70948422	M	1836	1923	Gospod Mirodolski		1876	2013	T2	medium	high	54423	67759
SLV10026	Tavčar, Ivan	viaf:100298803	M	1851	1923	Visoška kronika	Svoji ženi Frančiški, sedanji Visošci, poklanja Emil Leon. 1695.	1919	2008	T4	medium	high	58720	70058
SLV10027	Vodeb, Emil	viaf:6604157470209022640002	M	1880	1921	Libera nos a malo	Zgodovinski roman	1911	2011	T4	short	low	36221	43412
SLV10028	Vošnjak, Josip	viaf:55300280	M	1834	1911	Pobratimi	Roman	1889	2019	T3	medium	low	53817	65426
SLV10029	Kersnik, Janko	viaf:34746806	M	1852	1897	Rošlin in Vrjanko	Povest	1889	2018	T3	short	high	30841	39710
SLV10030	Govekar, Fran	viaf:51812691	M	1871	1949	Svitanje	Roman	1921	2020	T4	long	low	124090	151957
SLV10031	Lah, Ivan	viaf:101581601	M	1881	1938	Brambovci	Zgodovinski roman	1911	2019	T4	long	low	141412	168592
SLV10032	Zbašnik, Fran	viaf:84281491	M	1855	1935	Z viharja v zavetje	Roman iz življenja preproste deklice	1900	2019	T4	medium	low	90135	108802
SLV20001	Kočevar, Ferdo	viaf:172466996	M	1833	1878	Mlinarjev Janez	Po narodni pripovedki iz srede petnajstoga stoletja	1859	2019	T1	short	high	31137	37698
SLV20002	Sket, Jakob	viaf:93569857	M	1852	1912	Miklova Zala	Povest iz turških časov	1884	2015	T3	short	high	34023	39972
SLV30001	Cankar, Izidor	viaf:51848354	M	1886	1958	S poti		1913	2007	T4	short	high	26930	34000
